feature,importance_gain
sbp_current,0.24432896
information_completeness,0.14204587
previous_hospital_admissions,0.12854192
text_pca_0,0.08937216
text_pca_7,0.06969295
hr_current,0.05537286
text_pca_6,0.045666106
sbp_arrival,0.038496964
text_pca_5,0.03560268
text_pca_4,0.020566056
text_pca_3,0.020420432
time_elapsed_minutes,0.017483648
text_pca_1,0.016682206
age,0.013571788
cardiovascular_history,0.013551121
rr_current,0.011021751
sex,0.008573097
hr_arrival,0.0065131257
spo2_arrival,0.0051234723
text_pca_2,0.0049861297
dbp_arrival,0.004824942
spo2_current,0.0035699918
dbp_delta,0.0027498426
previous_ed_visits,0.0010350879
dbp_current,0.00020689283
respiratory_history,0.0
previous_icu_admissions,0.0
renal_history,0.0
diabetes_history,0.0
neurological_history,0.0
malignancy_history,0.0
sbp_delta,0.0
spo2_delta,0.0
rr_arrival,0.0
hr_missing,0.0
rr_missing,0.0
rr_delta,0.0
hr_delta,0.0
sbp_missing,0.0
spo2_missing,0.0
temp_delta,0.0
dbp_missing,0.0
temp_missing,0.0
temp_arrival,0.0
temp_current,0.0
