feature,importance_gain
previous_ed_visits,0.215118
text_pca_4,0.08207833
text_pca_0,0.07783662
sex,0.070631295
text_pca_1,0.049374092
sbp_arrival,0.04591144
text_pca_2,0.044147003
hr_current,0.04347846
text_pca_5,0.040493898
hr_arrival,0.034899797
age,0.033720348
information_completeness,0.030035852
text_pca_3,0.028558813
dbp_current,0.023227107
previous_hospital_admissions,0.02159897
cardiovascular_history,0.021172415
text_pca_6,0.020789562
temp_current,0.0144767
text_pca_7,0.013210588
diabetes_history,0.012265114
rr_arrival,0.011741303
dbp_arrival,0.011729282
previous_icu_admissions,0.0109437825
sbp_current,0.00903948
respiratory_history,0.008479787
spo2_arrival,0.00818886
temp_arrival,0.00617984
neurological_history,0.005578442
spo2_current,0.005094881
malignancy_history,0.0
renal_history,0.0
sbp_delta,0.0
spo2_delta,0.0
rr_current,0.0
hr_missing,0.0
rr_missing,0.0
rr_delta,0.0
hr_delta,0.0
sbp_missing,0.0
spo2_missing,0.0
time_elapsed_minutes,0.0
dbp_missing,0.0
temp_missing,0.0
temp_delta,0.0
dbp_delta,0.0
